id,code,name,full_name
l10n_latam_sv.1301,1301,"Cultivo de plantas y flores ornamentales","Cultivo de plantas y flores ornamentales"
l10n_latam_sv.1500,1500,"Cultivo de productos agrícolas en combinación con la cría de animales","Cultivo de productos agrícolas en combinación con la cría de animales"
l10n_latam_sv.1131,1131,"Cultivo de raíces y tubérculos","Cultivo de raíces y tubérculos"
l10n_latam_sv.1113,1113,"Cultivo de semillas oleaginosas","Cultivo de semillas oleaginosas"
l10n_latam_sv.1150,1150,"Cultivo de tabaco","Cultivo de tabaco"
l10n_latam_sv.1133,1133,"Cultivo horticola de fruto","Cultivo horticola de fruto"
l10n_latam_sv.15110,15110,"Curtido y adobo de cueros; adobo y teñido de pieles","Curtido y adobo de cueros; adobo y teñido de pieles"
l10n_latam_sv.43110,43110,"Demolición","Demolición"
l10n_latam_sv.78300,78300,"Detación de recursos humanos y gestion; gestión de las funciones de recursos humanos","Detación de recursos humanos y gestion; gestión de las funciones de recursos humanos"
l10n_latam_sv.93291,93291,"Discotecas y salas de baile","Discotecas y salas de baile"
l10n_latam_sv.35103,35103,"Distribución de energía eléctrica","Distribución de energía eléctrica"
l10n_latam_sv.58120,58120,"Edición de directorios y listas de correos","Edición de directorios y listas de correos"
l10n_latam_sv.58110,58110,"Edición de libros, folletos, partituras y otras ediciones distintas a estas","Edición de libros, folletos, partituras y otras ediciones distintas a estas"
l10n_latam_sv.58130,58130,"Edición de periódicos, revistas y otras publicaciones periódicas","Edición de periódicos, revistas y otras publicaciones periódicas"
l10n_latam_sv.58200,58200,"Edición de programas informáticos (software)","Edición de programas informáticos (software)"
l10n_latam_sv.85420,85420,"Educación cultural","Educación cultural"
l10n_latam_sv.85410,85410,"Educación deportiva y recreativa","Educación deportiva y recreativa"
l10n_latam_sv.10800,10800,"Elaboración de alimentos preparados para animales","Elaboración de alimentos preparados para animales"
l10n_latam_sv.14106,14106,"Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles","Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles"
l10n_latam_sv.11049,11049,"Elaboración de bebidas no alcohólicas","Elaboración de bebidas no alcohólicas"
l10n_latam_sv.10612,10612,"Elaboración de cereales para el desayuno y similares","Elaboración de cereales para el desayuno y similares"
l10n_latam_sv.10750,10750,"Elaboración de comidas y platos preparados para la reventa en","Elaboración de comidas y platos preparados para la reventa en"
l10n_latam_sv.10792,10792,"Elaboración de especies, sazonadores y condimentos","Elaboración de especies, sazonadores y condimentos"
l10n_latam_sv.10723,10723,"Elaboración de jarabes de azúcar y otros similares","Elaboración de jarabes de azúcar y otros similares"
l10n_latam_sv.10301,10301,"Elaboración de jugos de frutas y hortalizas","Elaboración de jugos de frutas y hortalizas"
